Element Index,Addition Cost,Copy Cost,Total Cost,Amortized Cost
725,1,0,1748,2.4110344828
726,1,0,1749,2.4090909091
727,1,0,1750,2.4071526823
728,1,0,1751,2.4052197802
729,1,0,1752,2.4032921811
730,1,0,1753,2.4013698630
731,1,0,1754,2.3994528044
732,1,0,1755,2.3975409836
733,1,0,1756,2.3956343793
734,1,0,1757,2.3937329700
735,1,0,1758,2.3918367347
736,1,0,1759,2.3899456522
737,1,0,1760,2.3880597015
738,1,0,1761,2.3861788618
739,1,0,1762,2.3843031123
740,1,0,1763,2.3824324324
741,1,0,1764,2.3805668016
742,1,0,1765,2.3787061995
743,1,0,1766,2.3768506057
744,1,0,1767,2.3750000000
745,1,0,1768,2.3731543624
746,1,0,1769,2.3713136729
747,1,0,1770,2.3694779116
748,1,0,1771,2.3676470588
749,1,0,1772,2.3658210948
750,1,0,1773,2.3640000000
751,1,0,1774,2.3621837550
752,1,0,1775,2.3603723404
753,1,0,1776,2.3585657371
754,1,0,1777,2.3567639257
755,1,0,1778,2.3549668874
756,1,0,1779,2.3531746032
757,1,0,1780,2.3513870542
758,1,0,1781,2.3496042216
759,1,0,1782,2.3478260870
760,1,0,1783,2.3460526316
761,1,0,1784,2.3442838371
762,1,0,1785,2.3425196850
763,1,0,1786,2.3407601573
764,1,0,1787,2.3390052356
765,1,0,1788,2.3372549020
766,1,0,1789,2.3355091384
767,1,0,1790,2.3337679270
768,1,0,1791,2.3320312500
769,1,0,1792,2.3302990897
770,1,0,1793,2.3285714286
771,1,0,1794,2.3268482490
772,1,0,1795,2.3251295337
773,1,0,1796,2.3234152652
774,1,0,1797,2.3217054264
775,1,0,1798,2.3200000000
776,1,0,1799,2.3182989691
777,1,0,1800,2.3166023166
778,1,0,1801,2.3149100257
779,1,0,1802,2.3132220796
780,1,0,1803,2.3115384615
781,1,0,1804,2.3098591549
782,1,0,1805,2.3081841432
783,1,0,1806,2.3065134100
784,1,0,1807,2.3048469388
785,1,0,1808,2.3031847134
786,1,0,1809,2.3015267176
787,1,0,1810,2.2998729352
788,1,0,1811,2.2982233503
789,1,0,1812,2.2965779468
790,1,0,1813,2.2949367089
791,1,0,1814,2.2932996207
792,1,0,1815,2.2916666667
793,1,0,1816,2.2900378310
794,1,0,1817,2.2884130982
795,1,0,1818,2.2867924528
796,1,0,1819,2.2851758794
797,1,0,1820,2.2835633626
798,1,0,1821,2.2819548872
799,1,0,1822,2.2803504380
800,1,0,1823,2.2787500000
801,1,0,1824,2.2771535581
802,1,0,1825,2.2755610973
803,1,0,1826,2.2739726027
804,1,0,1827,2.2723880597
805,1,0,1828,2.2708074534
806,1,0,1829,2.2692307692
807,1,0,1830,2.2676579926
808,1,0,1831,2.2660891089
809,1,0,1832,2.2645241038
810,1,0,1833,2.2629629630
811,1,0,1834,2.2614056720
812,1,0,1835,2.2598522167
813,1,0,1836,2.2583025830
814,1,0,1837,2.2567567568
815,1,0,1838,2.2552147239
816,1,0,1839,2.2536764706
817,1,0,1840,2.2521419829
818,1,0,1841,2.2506112469
819,1,0,1842,2.2490842491
820,1,0,1843,2.2475609756
821,1,0,1844,2.2460414129
822,1,0,1845,2.2445255474
823,1,0,1846,2.2430133657
824,1,0,1847,2.2415048544
825,1,0,1848,2.2400000000
826,1,0,1849,2.2384987893
827,1,0,1850,2.2370012092
828,1,0,1851,2.2355072464
829,1,0,1852,2.2340168878
830,1,0,1853,2.2325301205
831,1,0,1854,2.2310469314
832,1,0,1855,2.2295673077
833,1,0,1856,2.2280912365
834,1,0,1857,2.2266187050
835,1,0,1858,2.2251497006
836,1,0,1859,2.2236842105
837,1,0,1860,2.2222222222
838,1,0,1861,2.2207637232
839,1,0,1862,2.2193087008
840,1,0,1863,2.2178571429
841,1,0,1864,2.2164090369
842,1,0,1865,2.2149643705
843,1,0,1866,2.2135231317
844,1,0,1867,2.2120853081
845,1,0,1868,2.2106508876
846,1,0,1869,2.2092198582
847,1,0,1870,2.2077922078
848,1,0,1871,2.2063679245
849,1,0,1872,2.2049469965
850,1,0,1873,2.2035294118
851,1,0,1874,2.2021151586
852,1,0,1875,2.2007042254
853,1,0,1876,2.1992966002
854,1,0,1877,2.1978922717
855,1,0,1878,2.1964912281
856,1,0,1879,2.1950934579
857,1,0,1880,2.1936989498
858,1,0,1881,2.1923076923
859,1,0,1882,2.1909196740
860,1,0,1883,2.1895348837
861,1,0,1884,2.1881533101
862,1,0,1885,2.1867749420
863,1,0,1886,2.1853997683
864,1,0,1887,2.1840277778
865,1,0,1888,2.1826589595
866,1,0,1889,2.1812933025
867,1,0,1890,2.1799307958
868,1,0,1891,2.1785714286
869,1,0,1892,2.1772151899
870,1,0,1893,2.1758620690
871,1,0,1894,2.1745120551
872,1,0,1895,2.1731651376
873,1,0,1896,2.1718213058
874,1,0,1897,2.1704805492
875,1,0,1898,2.1691428571
876,1,0,1899,2.1678082192
877,1,0,1900,2.1664766249
878,1,0,1901,2.1651480638
879,1,0,1902,2.1638225256
880,1,0,1903,2.1625000000
881,1,0,1904,2.1611804767
882,1,0,1905,2.1598639456
883,1,0,1906,2.1585503964
884,1,0,1907,2.1572398190
885,1,0,1908,2.1559322034
886,1,0,1909,2.1546275395
887,1,0,1910,2.1533258174
888,1,0,1911,2.1520270270
889,1,0,1912,2.1507311586
890,1,0,1913,2.1494382022
891,1,0,1914,2.1481481481
892,1,0,1915,2.1468609865
893,1,0,1916,2.1455767077
